[INFO 3:55:53 p.m.] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 3:55:53 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:55:53 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:55:53 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 3:55:54 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:55:54 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:55:54 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 3:55:56 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:55:56 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:55:56 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 3:57:02 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:57:02 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:57:02 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 3:57:07 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:57:07 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:57:07 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 3:57:21 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:57:21 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:57:21 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 3:57:39 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:57:39 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:57:39 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 3:59:43 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:59:43 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:59:43 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 3:59:47 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 3:59:47 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 3:59:47 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:00:51 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:00:51 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:00:51 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:00:57 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:00:57 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:00:57 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:01:48 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:01:48 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:01:48 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:07:15 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:07:15 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:07:15 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:07:16 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:07:16 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:07:16 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:07:19 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:07:19 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:07:19 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:07:21 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:07:21 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:07:21 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:07:35 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:07:35 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:07:35 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:08:26 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:08:26 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:08:26 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:08:27 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:08:27 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:08:27 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 4:09:24 p.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 4:09:24 p.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 4:09:24 p.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
