[INFO 3:57:03 p.m.] miguelsolorio.symbols activated
[INFO 3:57:03 p.m.] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:57:03 p.m.] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:57:03 p.m.] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:57:03 p.m.] 🤖 symbols.files.associations changed, updating to undefined
[INFO 3:57:07 p.m.] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 3:57:07 p.m.] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 3:57:07 p.m.] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 3:57:07 p.m.] 🤖 symbols.files.associations changed, updating to undefined
[INFO 4:07:19 p.m.] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 4:07:19 p.m.] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 4:07:19 p.m.] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 4:07:19 p.m.] 🤖 symbols.files.associations changed, updating to undefined
[INFO 4:07:21 p.m.] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 4:07:21 p.m.] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 4:07:21 p.m.] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 4:07:21 p.m.] 🤖 symbols.files.associations changed, updating to undefined
