[INFO 11:32:03 a.m.] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 11:32:03 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:32:03 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:32:03 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:32:11 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:32:11 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:32:11 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:32:11 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:32:11 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:32:11 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:33:05 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:33:05 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:33:05 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:33:16 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:33:16 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:33:16 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:47:03 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:48:31 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:48:31 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:48:31 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:48:34 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:48:34 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:48:34 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:48:55 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:48:55 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:48:55 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:50:27 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:50:27 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:50:27 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:50:30 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:50:30 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:50:30 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:50:35 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:50:35 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:50:35 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:54:19 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:54:19 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:54:19 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:54:22 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:54:22 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:54:22 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 11:54:25 a.m.] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 11:54:25 a.m.] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 11:54:25 a.m.] catppuccin-noctis-icons.files.associations changed, updating to undefined
